Monument,Label,Site
urn:cite:oldpersian:monument.1,"Behistun relief",urn:cite:oldpersian:site.1
urn:cite:oldpersian:monument.2,"Tomb of Darius at Naqsh-i Rustam",urn:cite:oldpersian:site.5
