LexicalEntity,Lemma,ShortDef
urn:cite:oldpersian:lexent.1,adam,"pron. 'I'"
urn:cite:oldpersian:lexent.2,akunau-,"to do"
urn:cite:oldpersian:lexent.3,darayavaush,"Darius"
urn:cite:oldpersian:lexent.4,dahyu-,"land"
ha-xa-a-ma-na-i-sha-i-ya
ha-ya
i-ma-ma
pa-a-ra-sa-i-ya
pa-u-sra
ta-sra-ra-ma
va-a-ra-ka
va-sha-ta-a-sa-pa-ha-ya-a
va-za-ra-ka
xa-sha-a-ya-tha-i-ya
xa-sha-ya-a-ra-sha-a
